Id,SalePrice
1461,112767.55
1462,152797.22
1463,179434.11
1464,195047.3
1465,196195.45
1466,168438.16
1467,177978.8
1468,160525.02
1469,194390.36
1470,114229.45
1471,173269.44
1472,98276.766
1473,90969.266
1474,147116.23
1475,94423.76
1476,351481.2
1477,252404.7
1478,311267.2
1479,307227.5
1480,457024.94
1481,314411.25
1482,218144.5
1483,169211.0
1484,168090.42
1485,194931.55
1486,197416.86
1487,321923.38
1488,238597.7
1489,192551.28
1490,245270.42
1491,202240.36
1492,89383.66
1493,205875.44
1494,291256.56
1495,274930.78
1496,247487.81
1497,165432.67
1498,165249.14
1499,160649.89
1500,151755.7
1501,201178.67
1502,150528.94
1503,291581.38
1504,241281.89
1505,223332.39
1506,193955.52
1507,243172.75
1508,196581.45
1509,156308.88
1510,146340.69
1511,144710.27
1512,174146.7
1513,146438.67
1514,159510.02
1515,198577.2
1516,160049.77
1517,172274.58
1518,118018.6
1519,225662.86
1520,118287.71
1521,121098.945
1522,193555.4
1523,96253.41
1524,114417.06
1525,111614.15
1526,100417.164
1527,100842.61
1528,131091.69
1529,152312.39
1530,220398.22
1531,135026.98
1532,102703.78
1533,152281.52
1534,120916.984
1535,138309.39
1536,99913.234
1537,52470.41
1538,168898.95
1539,206550.48
1540,121780.58
1541,145967.42
1542,134986.62
1543,183824.5
1544,78424.84
1545,122331.28
1546,153370.75
1547,126842.47
1548,142242.33
1549,126381.83
1550,149133.48
1551,108110.85
1552,153033.02
1553,160499.73
1554,115759.3
1555,154596.48
1556,73552.64
1557,107169.11
1558,103201.96
1559,71956.734
1560,117384.83
1561,125867.11
1562,127814.14
1563,125263.01
1564,158904.3
1565,159664.55
1566,247676.36
1567,65925.625
1568,243520.48
1569,134700.02
1570,141447.95
1571,94236.625
1572,143268.75
1573,242568.06
1574,133113.4
1575,238225.86
1576,250117.95
1577,184145.2
1578,154334.11
1579,133530.84
1580,193936.25
1581,159607.0
1582,129988.76
1583,284432.0
1584,223852.36
1585,137718.14
1586,54827.36
1587,105825.08
1588,161203.48
1589,106064.74
1590,121478.53
1591,88803.61
1592,131027.86
1593,135622.03
1594,127542.13
1595,100061.375
1596,221322.8
1597,198566.14
1598,206243.86
1599,190035.44
1600,183156.33
1601,41014.8
1602,124416.16
1603,67845.61
1604,277289.6
1605,243712.98
1606,154701.47
1607,161365.61
1608,217378.05
1609,187333.98
1610,156268.77
1611,137127.17
1612,183009.64
1613,170551.73
1614,135169.64
1615,94412.484
1616,67894.41
1617,82335.42
1618,114327.3
1619,148735.03
1620,175403.92
1621,128095.875
1622,154151.33
1623,268312.88
1624,209188.22
1625,115282.52
1626,181190.98
1627,187135.89
1628,274477.6
1629,173306.14
1630,330292.25
1631,230302.2
1632,231709.75
1633,188933.48
1634,191030.89
1635,175569.62
1636,142847.86
1637,184727.52
1638,181392.17
1639,184123.86
1640,231541.28
1641,178201.45
1642,258838.73
1643,214361.75
1644,234049.11
1645,206542.16
1646,163939.73
1647,160706.86
1648,129202.266
1649,132047.17
1650,117132.83
1651,117691.3
1652,101957.0
1653,101813.17
1654,146371.84
1655,122377.1
1656,141900.36
1657,156189.0
1658,157622.34
1659,120375.53
1660,153405.73
1661,412205.5
1662,357670.25
1663,361752.88
1664,436152.62
1665,314760.56
1666,320627.53
1667,348594.0
1668,347456.0
1669,317253.8
1670,348172.12
1671,263928.16
1672,394986.5
1673,295704.06
1674,249202.2
1675,203249.17
1676,205628.45
1677,218163.8
1678,449401.34
1679,373021.34
1680,322555.7
1681,272673.34
1682,315901.12
1683,193789.92
1684,177961.05
1685,179523.52
1686,170512.38
1687,171343.25
1688,192896.52
1689,200329.61
1690,203523.55
1691,195314.77
1692,267689.7
1693,175719.53
1694,185313.95
1695,166206.2
1696,259432.95
1697,178586.94
1698,326758.88
1699,327297.53
1700,263032.1
1701,271973.06
1702,233692.69
1703,235668.19
1704,270166.72
1705,262985.38
1706,367230.38
1707,226463.27
1708,203782.64
1709,254741.6
1710,222441.33
1711,280586.0
1712,249045.7
1713,271780.0
1714,219964.16
1715,209847.11
1716,178243.02
1717,184520.11
1718,136639.84
1719,223703.48
1720,240747.67
1721,159123.02
1722,112882.125
1723,151400.97
1724,211619.92
1725,237983.61
1726,189674.67
1727,149699.14
1728,172972.73
1729,172170.08
1730,164421.36
1731,119877.06
1732,128465.41
1733,111491.0
1734,120211.69
1735,115243.01
1736,89727.42
1737,297983.44
1738,258569.67
1739,248527.77
1740,211508.06
1741,188532.52
1742,178315.72
1743,180926.95
1744,331807.25
1745,230170.6
1746,192950.52
1747,220681.44
1748,206417.64
1749,128463.555
1750,121118.72
1751,240525.55
1752,111476.54
1753,155879.8
1754,195232.17
1755,171009.64
1756,139807.34
1757,116068.914
1758,149298.39
1759,162404.25
1760,167228.11
1761,156090.58
1762,187789.61
